#format table ## [WaveView Analyzer] saved 18:28:12 Fri Jan  2 2015
TIME ,i(vsleep):ptubes=1 ,i(vsleep):ptubes=2 ,i(vsleep):ptubes=3 ,i(vsleep):ptubes=4 ,i(vsleep):ptubes=5 ,i(vsleep):ptubes=6 ,i(vsleep):ptubes=7 ,i(vsleep):ptubes=8 ,i(vsleep):ptubes=9 ,i(vsleep):ptubes=10 ,i(vsleep):ptubes=11 ,i(vsleep):ptubes=12 ,i(vsleep):ptubes=13 ,i(vsleep):ptubes=14 ,i(vsleep):ptubes=15 ,i(vsleep):ptubes=16 ,i(vsleep):ptubes=17 ,i(vsleep):ptubes=18 ,i(vsleep):ptubes=19 ,i(vsleep):ptubes=20 ,i(vsleep):ptubes=21 ,i(vsleep):ptubes=22 ,i(vsleep):ptubes=23 ,i(vsleep):ptubes=24 ,i(vsleep):ptubes=25 ,i(vsleep):ptubes=26 ,i(vsleep):ptubes=27 ,i(vsleep):ptubes=28 ,i(vsleep):ptubes=29 ,i(vsleep):ptubes=30 ,i(vsleep):ptubes=31 ,i(vsleep):ptubes=32 ,i(vsleep):ptubes=33 ,i(vsleep):ptubes=34 ,i(vsleep):ptubes=35 ,i(vsleep):ptubes=36 ,i(vsleep):ptubes=37 ,i(vsleep):ptubes=38 ,i(vsleep):ptubes=39 ,i(vsleep):ptubes=40 ,i(vsleep):ptubes=41 ,i(vsleep):ptubes=42 ,i(vsleep):ptubes=43 ,i(vsleep):ptubes=44 ,i(vsleep):ptubes=45 ,i(vsleep):ptubes=46 ,i(vsleep):ptubes=47 ,i(vsleep):ptubes=48 ,i(vsleep):ptubes=49 ,i(vsleep):ptubes=50 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 
 5.000E-13 ,-6.728E-06 ,-1.221E-05 ,-1.754E-05 ,-2.287E-05 ,-2.819E-05 ,-3.350E-05 ,-3.880E-05 ,-4.411E-05 ,-4.940E-05 ,-5.470E-05 ,-5.999E-05 ,-6.527E-05 ,-7.056E-05 ,-7.584E-05 ,-8.113E-05 ,-8.641E-05 ,-9.169E-05 ,-9.697E-05 ,-1.022E-04 ,-1.075E-04 ,-1.128E-04 ,-1.181E-04 ,-1.234E-04 ,-1.286E-04 ,-1.339E-04 ,-1.392E-04 ,-1.445E-04 ,-1.497E-04 ,-1.550E-04 ,-1.603E-04 ,-1.656E-04 ,-1.708E-04 ,-1.761E-04 ,-1.814E-04 ,-1.867E-04 ,-1.919E-04 ,-1.972E-04 ,-2.025E-04 ,-2.077E-04 ,-2.130E-04 ,-2.183E-04 ,-2.236E-04 ,-2.289E-04 ,-2.341E-04 ,-2.394E-04 ,-2.447E-04 ,-2.500E-04 ,-2.552E-04 ,-2.605E-04 ,-2.658E-04 
 6.250E-13 ,-1.114E-05 ,-2.095E-05 ,-3.047E-05 ,-3.994E-05 ,-4.935E-05 ,-5.873E-05 ,-6.808E-05 ,-7.741E-05 ,-8.672E-05 ,-9.600E-05 ,-1.053E-04 ,-1.145E-04 ,-1.237E-04 ,-1.329E-04 ,-1.422E-04 ,-1.514E-04 ,-1.606E-04 ,-1.698E-04 ,-1.790E-04 ,-1.881E-04 ,-1.973E-04 ,-2.065E-04 ,-2.157E-04 ,-2.248E-04 ,-2.340E-04 ,-2.432E-04 ,-2.523E-04 ,-2.615E-04 ,-2.706E-04 ,-2.798E-04 ,-2.889E-04 ,-2.981E-04 ,-3.072E-04 ,-3.164E-04 ,-3.255E-04 ,-3.347E-04 ,-3.438E-04 ,-3.529E-04 ,-3.621E-04 ,-3.712E-04 ,-3.803E-04 ,-3.896E-04 ,-3.987E-04 ,-4.079E-04 ,-4.170E-04 ,-4.261E-04 ,-4.352E-04 ,-4.444E-04 ,-4.535E-04 ,-4.626E-04 
 6.647E-13 ,-1.236E-05 ,-2.337E-05 ,-3.408E-05 ,-4.472E-05 ,-5.526E-05 ,-6.577E-05 ,-7.624E-05 ,-8.666E-05 ,-9.706E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.486E-04 ,-1.589E-04 ,-1.691E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.099E-04 ,-2.201E-04 ,-2.303E-04 ,-2.404E-04 ,-2.506E-04 ,-2.607E-04 ,-2.708E-04 ,-2.809E-04 ,-2.910E-04 ,-3.011E-04 ,-3.112E-04 ,-3.213E-04 ,-3.314E-04 ,-3.415E-04 ,-3.516E-04 ,-3.616E-04 ,-3.717E-04 ,-3.817E-04 ,-3.918E-04 ,-4.018E-04 ,-4.119E-04 ,-4.219E-04 ,-4.319E-04 ,-4.419E-04 ,-4.520E-04 ,-4.620E-04 ,-4.720E-04 ,-4.820E-04 ,-4.921E-04 ,-5.021E-04 ,-5.121E-04 
 6.647E-13 ,-1.236E-05 ,-2.337E-05 ,-3.408E-05 ,-4.472E-05 ,-5.526E-05 ,-6.577E-05 ,-7.624E-05 ,-8.667E-05 ,-9.706E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.691E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.201E-04 ,-2.303E-04 ,-2.404E-04 ,-2.506E-04 ,-2.607E-04 ,-2.708E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.213E-04 ,-3.314E-04 ,-3.415E-04 ,-3.516E-04 ,-3.616E-04 ,-3.717E-04 ,-3.818E-04 ,-3.918E-04 ,-4.019E-04 ,-4.119E-04 ,-4.219E-04 ,-4.319E-04 ,-4.420E-04 ,-4.520E-04 ,-4.620E-04 ,-4.720E-04 ,-4.821E-04 ,-4.921E-04 ,-5.021E-04 ,-5.121E-04 
 6.647E-13 ,-1.236E-05 ,-2.337E-05 ,-3.409E-05 ,-4.473E-05 ,-5.526E-05 ,-6.578E-05 ,-7.625E-05 ,-8.667E-05 ,-9.707E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.692E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.201E-04 ,-2.303E-04 ,-2.405E-04 ,-2.506E-04 ,-2.607E-04 ,-2.709E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.214E-04 ,-3.314E-04 ,-3.415E-04 ,-3.516E-04 ,-3.617E-04 ,-3.717E-04 ,-3.818E-04 ,-3.918E-04 ,-4.019E-04 ,-4.119E-04 ,-4.220E-04 ,-4.320E-04 ,-4.420E-04 ,-4.520E-04 ,-4.620E-04 ,-4.721E-04 ,-4.821E-04 ,-4.921E-04 ,-5.021E-04 ,-5.121E-04 
 6.647E-13 ,-1.236E-05 ,-2.337E-05 ,-3.409E-05 ,-4.473E-05 ,-5.526E-05 ,-6.578E-05 ,-7.625E-05 ,-8.668E-05 ,-9.707E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.692E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.201E-04 ,-2.303E-04 ,-2.405E-04 ,-2.506E-04 ,-2.607E-04 ,-2.709E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.214E-04 ,-3.315E-04 ,-3.415E-04 ,-3.516E-04 ,-3.617E-04 ,-3.717E-04 ,-3.818E-04 ,-3.918E-04 ,-4.019E-04 ,-4.119E-04 ,-4.220E-04 ,-4.320E-04 ,-4.420E-04 ,-4.520E-04 ,-4.621E-04 ,-4.721E-04 ,-4.821E-04 ,-4.921E-04 ,-5.021E-04 ,-5.122E-04 
 6.647E-13 ,-1.236E-05 ,-2.338E-05 ,-3.409E-05 ,-4.473E-05 ,-5.527E-05 ,-6.578E-05 ,-7.625E-05 ,-8.668E-05 ,-9.707E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.692E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.202E-04 ,-2.303E-04 ,-2.405E-04 ,-2.506E-04 ,-2.607E-04 ,-2.709E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.214E-04 ,-3.315E-04 ,-3.415E-04 ,-3.516E-04 ,-3.617E-04 ,-3.717E-04 ,-3.818E-04 ,-3.919E-04 ,-4.019E-04 ,-4.120E-04 ,-4.220E-04 ,-4.320E-04 ,-4.420E-04 ,-4.521E-04 ,-4.621E-04 ,-4.721E-04 ,-4.821E-04 ,-4.921E-04 ,-5.022E-04 ,-5.122E-04 
 6.647E-13 ,-1.236E-05 ,-2.338E-05 ,-3.409E-05 ,-4.473E-05 ,-5.527E-05 ,-6.578E-05 ,-7.626E-05 ,-8.668E-05 ,-9.708E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.692E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.202E-04 ,-2.303E-04 ,-2.405E-04 ,-2.506E-04 ,-2.608E-04 ,-2.709E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.214E-04 ,-3.315E-04 ,-3.416E-04 ,-3.516E-04 ,-3.617E-04 ,-3.718E-04 ,-3.818E-04 ,-3.919E-04 ,-4.019E-04 ,-4.120E-04 ,-4.220E-04 ,-4.320E-04 ,-4.420E-04 ,-4.521E-04 ,-4.621E-04 ,-4.721E-04 ,-4.821E-04 ,-4.922E-04 ,-5.022E-04 ,-5.122E-04 
 6.648E-13 ,-1.236E-05 ,-2.338E-05 ,-3.409E-05 ,-4.473E-05 ,-5.527E-05 ,-6.578E-05 ,-7.626E-05 ,-8.668E-05 ,-9.708E-05 ,-1.074E-04 ,-1.178E-04 ,-1.281E-04 ,-1.384E-04 ,-1.487E-04 ,-1.589E-04 ,-1.692E-04 ,-1.794E-04 ,-1.896E-04 ,-1.998E-04 ,-2.100E-04 ,-2.202E-04 ,-2.303E-04 ,-2.405E-04 ,-2.506E-04 ,-2.608E-04 ,-2.709E-04 ,-2.810E-04 ,-2.911E-04 ,-3.012E-04 ,-3.113E-04 ,-3.214E-04 ,-3.315E-04 ,-3.416E-04 ,-3.516E-04 ,-3.617E-04 ,-3.718E-04 ,-3.818E-04 ,-3.919E-04 ,-4.019E-04 ,-4.120E-04 ,-4.220E-04 ,-4.320E-04 ,-4.420E-04 ,-4.521E-04 ,-4.621E-04 ,-4.721E-04 ,-4.822E-04 ,-4.922E-04 ,-5.022E-04 ,-5.122E-04 
