#format table ## [WaveView Analyzer] saved 23:38:22 Fri Jan  2 2015
TIME ,v(fgnd):ptubes=1 ,v(fgnd):ptubes=2 ,v(fgnd):ptubes=3 ,v(fgnd):ptubes=4 ,v(fgnd):ptubes=5 ,v(fgnd):ptubes=6 ,v(fgnd):ptubes=7 ,v(fgnd):ptubes=8 ,v(fgnd):ptubes=9 ,v(fgnd):ptubes=10 ,v(fgnd):ptubes=11 ,v(fgnd):ptubes=12 ,v(fgnd):ptubes=13 ,v(fgnd):ptubes=14 ,v(fgnd):ptubes=15 ,v(fgnd):ptubes=16 ,v(fgnd):ptubes=17 ,v(fgnd):ptubes=18 ,v(fgnd):ptubes=19 ,v(fgnd):ptubes=20 ,v(fgnd):ptubes=21 ,v(fgnd):ptubes=22 ,v(fgnd):ptubes=23 ,v(fgnd):ptubes=24 ,v(fgnd):ptubes=25 ,v(fgnd):ptubes=26 ,v(fgnd):ptubes=27 ,v(fgnd):ptubes=28 ,v(fgnd):ptubes=29 ,v(fgnd):ptubes=30 ,v(fgnd):ptubes=31 ,v(fgnd):ptubes=32 ,v(fgnd):ptubes=33 ,v(fgnd):ptubes=34 ,v(fgnd):ptubes=35 ,v(fgnd):ptubes=36 ,v(fgnd):ptubes=37 ,v(fgnd):ptubes=38 ,v(fgnd):ptubes=39 ,v(fgnd):ptubes=40 ,v(fgnd):ptubes=41 ,v(fgnd):ptubes=42 ,v(fgnd):ptubes=43 ,v(fgnd):ptubes=44 ,v(fgnd):ptubes=45 ,v(fgnd):ptubes=46 ,v(fgnd):ptubes=47 ,v(fgnd):ptubes=48 ,v(fgnd):ptubes=49 ,v(fgnd):ptubes=50 
 0.0000000E+00 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 
 5.0000000E-13 , 4.5092370E-02 , 4.6456434E-02 , 4.7482096E-02 , 4.8318025E-02 , 4.9018551E-02 , 4.9614489E-02 , 5.0127868E-02 , 5.0574876E-02 , 5.0967682E-02 , 5.1315617E-02 , 5.1625963E-02 , 5.1881779E-02 , 5.2130174E-02 , 5.2355349E-02 , 5.2561451E-02 , 5.2749038E-02 , 5.2921265E-02 , 5.3079952E-02 , 5.3226642E-02 , 5.3362653E-02 , 5.3489111E-02 , 5.3606994E-02 , 5.3717151E-02 , 5.3820323E-02 , 5.3917151E-02 , 5.4008212E-02 , 5.4094002E-02 , 5.4176740E-02 , 5.4253303E-02 , 5.4325797E-02 , 5.4394536E-02 , 5.4459810E-02 , 5.4521874E-02 , 5.4580953E-02 , 5.4637272E-02 , 5.4691009E-02 , 5.4742347E-02 , 5.4791436E-02 , 5.4838426E-02 , 5.4883450E-02 , 5.4926626E-02 , 5.4996110E-02 , 5.5035304E-02 , 5.5072933E-02 , 5.5109095E-02 , 5.5143867E-02 , 5.5177364E-02 , 5.5209585E-02 , 5.5240631E-02 , 5.5270571E-02 
 6.2500000E-13 , 5.6334008E-02 , 5.8897950E-02 , 6.0866255E-02 , 6.2499575E-02 , 6.3882723E-02 , 6.5070666E-02 , 6.6103213E-02 , 6.7007244E-02 , 6.7810610E-02 , 6.8528019E-02 , 6.9173060E-02 , 6.9823906E-02 , 7.0358962E-02 , 7.0847139E-02 , 7.1293257E-02 , 7.1704552E-02 , 7.2084121E-02 , 7.2435528E-02 , 7.2761834E-02 , 7.3065639E-02 , 7.3349223E-02 , 7.3614545E-02 , 7.3863335E-02 , 7.4097104E-02 , 7.4317180E-02 , 7.4524738E-02 , 7.4720822E-02 , 7.4903637E-02 , 7.5079590E-02 , 7.5246580E-02 , 7.5405277E-02 , 7.5556293E-02 , 7.5700171E-02 , 7.5837411E-02 , 7.5968467E-02 , 7.6093748E-02 , 7.6213628E-02 , 7.6328449E-02 , 7.6438539E-02 , 7.6544166E-02 , 7.6645620E-02 , 7.6719604E-02 , 7.6814666E-02 , 7.6906182E-02 , 7.6994345E-02 , 7.7079333E-02 , 7.7161238E-02 , 7.7240378E-02 , 7.7316813E-02 , 7.7390686E-02 
 6.6466347E-13 , 5.7488989E-02 , 6.0389215E-02 , 6.2635111E-02 , 6.4513203E-02 , 6.6185436E-02 , 6.7580668E-02 , 6.8801650E-02 , 6.9885182E-02 , 7.0847624E-02 , 7.1712126E-02 , 7.2493741E-02 , 7.3262587E-02 , 7.3915472E-02 , 7.4514182E-02 , 7.5064676E-02 , 7.5574079E-02 , 7.6046407E-02 , 7.6485697E-02 , 7.6895428E-02 , 7.7278570E-02 , 7.7637733E-02 , 7.7975165E-02 , 7.8292839E-02 , 7.8592503E-02 , 7.8875702E-02 , 7.9143785E-02 , 7.9397982E-02 , 7.9637255E-02 , 7.9866921E-02 , 8.0085616E-02 , 8.0294136E-02 , 8.0493198E-02 , 8.0683449E-02 , 8.0865484E-02 , 8.1039834E-02 , 8.1206976E-02 , 8.1367386E-02 , 8.1521444E-02 , 8.1669559E-02 , 8.1812046E-02 , 8.1949261E-02 , 8.2066152E-02 , 8.2194602E-02 , 8.2318562E-02 , 8.2438249E-02 , 8.2553885E-02 , 8.2665665E-02 , 8.2773797E-02 , 8.2878460E-02 , 8.2979817E-02 
 6.6468711E-13 , 5.7488780E-02 , 6.0390104E-02 , 6.2636165E-02 , 6.4514403E-02 , 6.6186808E-02 , 6.7582164E-02 , 6.8803258E-02 , 6.9886897E-02 , 7.0849434E-02 , 7.1714024E-02 , 7.2495720E-02 , 7.3264636E-02 , 7.3917591E-02 , 7.4516368E-02 , 7.5066923E-02 , 7.5576385E-02 , 7.6048768E-02 , 7.6488111E-02 , 7.6897891E-02 , 7.7281081E-02 , 7.7640288E-02 , 7.7977763E-02 , 7.8295478E-02 , 7.8595182E-02 , 7.8878418E-02 , 7.9146538E-02 , 7.9400769E-02 , 7.9640075E-02 , 7.9869774E-02 , 8.0088500E-02 , 8.0297050E-02 , 8.0496140E-02 , 8.0686418E-02 , 8.0868480E-02 , 8.1042856E-02 , 8.1210023E-02 , 8.1370457E-02 , 8.1524538E-02 , 8.1672676E-02 , 8.1815185E-02 , 8.1952421E-02 , 8.2069338E-02 , 8.2197808E-02 , 8.2321787E-02 , 8.2441493E-02 , 8.2557147E-02 , 8.2668945E-02 , 8.2777094E-02 , 8.2881774E-02 , 8.2983148E-02 
 6.6470587E-13 , 5.7488614E-02 , 6.0390173E-02 , 6.2637001E-02 , 6.4515355E-02 , 6.6187897E-02 , 6.7583351E-02 , 6.8804534E-02 , 6.9888258E-02 , 7.0850870E-02 , 7.1715529E-02 , 7.2497290E-02 , 7.3266262E-02 , 7.3919273E-02 , 7.4518102E-02 , 7.5068707E-02 , 7.5578215E-02 , 7.6050642E-02 , 7.6490026E-02 , 7.6899846E-02 , 7.7283073E-02 , 7.7642316E-02 , 7.7979825E-02 , 7.8297573E-02 , 7.8597308E-02 , 7.8880574E-02 , 7.9148722E-02 , 7.9402981E-02 , 7.9642314E-02 , 7.9872037E-02 , 8.0090788E-02 , 8.0299362E-02 , 8.0498475E-02 , 8.0688775E-02 , 8.0870858E-02 , 8.1045255E-02 , 8.1212441E-02 , 8.1372894E-02 , 8.1526994E-02 , 8.1675150E-02 , 8.1817676E-02 , 8.1954930E-02 , 8.2071866E-02 , 8.2200352E-02 , 8.2324347E-02 , 8.2444067E-02 , 8.2559736E-02 , 8.2671548E-02 , 8.2779711E-02 , 8.2884404E-02 , 8.2985791E-02 
 6.6472180E-13 , 5.7488473E-02 , 6.0390232E-02 , 6.2637214E-02 , 6.4516164E-02 , 6.6188822E-02 , 6.7584360E-02 , 6.8805618E-02 , 6.9889414E-02 , 7.0852090E-02 , 7.1716809E-02 , 7.2498624E-02 , 7.3267644E-02 , 7.3920702E-02 , 7.4519575E-02 , 7.5070222E-02 , 7.5579770E-02 , 7.6052234E-02 , 7.6491653E-02 , 7.6901507E-02 , 7.7284766E-02 , 7.7644040E-02 , 7.7981578E-02 , 7.8299353E-02 , 7.8599114E-02 , 7.8882406E-02 , 7.9150578E-02 , 7.9404860E-02 , 7.9644216E-02 , 7.9873961E-02 , 8.0092732E-02 , 8.0301326E-02 , 8.0500458E-02 , 8.0690777E-02 , 8.0872879E-02 , 8.1047292E-02 , 8.1214496E-02 , 8.1374965E-02 , 8.1529081E-02 , 8.1677252E-02 , 8.1819793E-02 , 8.1957061E-02 , 8.2074015E-02 , 8.2202514E-02 , 8.2326522E-02 , 8.2446255E-02 , 8.2561936E-02 , 8.2673760E-02 , 8.2781934E-02 , 8.2886639E-02 , 8.2988037E-02 
 6.6473498E-13 , 5.7488356E-02 , 6.0390281E-02 , 6.2637389E-02 , 6.4516443E-02 , 6.6189587E-02 , 6.7585193E-02 , 6.8806514E-02 , 6.9890370E-02 , 7.0853099E-02 , 7.1717866E-02 , 7.2499727E-02 , 7.3268786E-02 , 7.3921883E-02 , 7.4520793E-02 , 7.5071475E-02 , 7.5581055E-02 , 7.6053550E-02 , 7.6492998E-02 , 7.6902880E-02 , 7.7286165E-02 , 7.7645464E-02 , 7.7983026E-02 , 7.8300824E-02 , 7.8600607E-02 , 7.8883920E-02 , 7.9152112E-02 , 7.9406413E-02 , 7.9645788E-02 , 7.9875551E-02 , 8.0094339E-02 , 8.0302950E-02 , 8.0502098E-02 , 8.0692432E-02 , 8.0874549E-02 , 8.1048977E-02 , 8.1216194E-02 , 8.1376676E-02 , 8.1530805E-02 , 8.1678989E-02 , 8.1821543E-02 , 8.1958822E-02 , 8.2075790E-02 , 8.2204301E-02 , 8.2328319E-02 , 8.2448063E-02 , 8.2563754E-02 , 8.2675588E-02 , 8.2783772E-02 , 8.2888486E-02 , 8.2989893E-02 
 6.6474674E-13 , 5.7488252E-02 , 6.0390324E-02 , 6.2637546E-02 , 6.4516691E-02 , 6.6189894E-02 , 6.7585938E-02 , 6.8807315E-02 , 6.9891224E-02 , 7.0854000E-02 , 7.1718811E-02 , 7.2500712E-02 , 7.3269806E-02 , 7.3922938E-02 , 7.4521881E-02 , 7.5072593E-02 , 7.5582202E-02 , 7.6054725E-02 , 7.6494200E-02 , 7.6904106E-02 , 7.7287415E-02 , 7.7646736E-02 , 7.7984319E-02 , 7.8302138E-02 , 7.8601940E-02 , 7.8885272E-02 , 7.9153482E-02 , 7.9407801E-02 , 7.9647192E-02 , 7.9876971E-02 , 8.0095775E-02 , 8.0304400E-02 , 8.0503562E-02 , 8.0693910E-02 , 8.0876040E-02 , 8.1050481E-02 , 8.1217710E-02 , 8.1378205E-02 , 8.1532345E-02 , 8.1680541E-02 , 8.1823105E-02 , 8.1960395E-02 , 8.2077376E-02 , 8.2205896E-02 , 8.2329924E-02 , 8.2449677E-02 , 8.2565378E-02 , 8.2677220E-02 , 8.2785413E-02 , 8.2890135E-02 , 8.2991551E-02 
 6.6475709E-13 , 5.7488160E-02 , 6.0390363E-02 , 6.2637684E-02 , 6.4516910E-02 , 6.6190164E-02 , 6.7586241E-02 , 6.8808019E-02 , 6.9891975E-02 , 7.0854792E-02 , 7.1719642E-02 , 7.2501579E-02 , 7.3270703E-02 , 7.3923866E-02 , 7.4522838E-02 , 7.5073578E-02 , 7.5583213E-02 , 7.6055760E-02 , 7.6495257E-02 , 7.6905185E-02 , 7.7288514E-02 , 7.7647855E-02 , 7.7985458E-02 , 7.8303294E-02 , 7.8603114E-02 , 7.8886462E-02 , 7.9154688E-02 , 7.9409022E-02 , 7.9648428E-02 , 7.9878221E-02 , 8.0097038E-02 , 8.0305676E-02 , 8.0504851E-02 , 8.0695211E-02 , 8.0877352E-02 , 8.1051805E-02 , 8.1219045E-02 , 8.1379550E-02 , 8.1533701E-02 , 8.1681906E-02 , 8.1824480E-02 , 8.1961780E-02 , 8.2078772E-02 , 8.2207301E-02 , 8.2331337E-02 , 8.2451098E-02 , 8.2566807E-02 , 8.2678657E-02 , 8.2786858E-02 , 8.2891587E-02 , 8.2993010E-02 
