#format table ## [WaveView Analyzer] saved 00:52:33 Sun Dec 28 2014
XVAL ,i(vdd):0:vin=0 
 1.000E+00 ,-5.018E-11 
 2.000E+00 ,-9.275E-11 
 3.000E+00 ,-1.353E-10 
 4.000E+00 ,-1.779E-10 
 5.000E+00 ,-2.205E-10 
 6.000E+00 ,-2.630E-10 
 7.000E+00 ,-3.056E-10 
 8.000E+00 ,-3.482E-10 
 9.000E+00 ,-3.908E-10 
 1.000E+01 ,-4.333E-10 
 1.100E+01 ,-4.759E-10 
 1.200E+01 ,-5.185E-10 
 1.300E+01 ,-5.611E-10 
 1.400E+01 ,-6.036E-10 
 1.500E+01 ,-6.462E-10 
 1.600E+01 ,-6.888E-10 
 1.700E+01 ,-7.313E-10 
 1.800E+01 ,-7.739E-10 
 1.900E+01 ,-8.165E-10 
 2.000E+01 ,-8.591E-10 
 2.100E+01 ,-9.016E-10 
 2.200E+01 ,-9.442E-10 
 2.300E+01 ,-9.868E-10 
 2.400E+01 ,-1.029E-09 
 2.500E+01 ,-1.072E-09 
 2.600E+01 ,-1.114E-09 
 2.700E+01 ,-1.157E-09 
 2.800E+01 ,-1.200E-09 
 2.900E+01 ,-1.242E-09 
 3.000E+01 ,-1.285E-09 
 3.100E+01 ,-1.327E-09 
 3.200E+01 ,-1.370E-09 
 3.300E+01 ,-1.413E-09 
 3.400E+01 ,-1.455E-09 
 3.500E+01 ,-1.498E-09 
 3.600E+01 ,-1.540E-09 
 3.700E+01 ,-1.583E-09 
 3.800E+01 ,-1.625E-09 
 3.900E+01 ,-1.668E-09 
 4.000E+01 ,-1.711E-09 
 4.100E+01 ,-1.753E-09 
 4.200E+01 ,-1.796E-09 
 4.300E+01 ,-1.838E-09 
 4.400E+01 ,-1.881E-09 
 4.500E+01 ,-1.923E-09 
 4.600E+01 ,-1.966E-09 
 4.700E+01 ,-2.009E-09 
 4.800E+01 ,-2.051E-09 
 4.900E+01 ,-2.094E-09 
 5.000E+01 ,-2.136E-09 
 5.100E+01 ,-2.179E-09 
 5.200E+01 ,-2.221E-09 
 5.300E+01 ,-2.264E-09 
 5.400E+01 ,-2.307E-09 
 5.500E+01 ,-2.349E-09 
 5.600E+01 ,-2.392E-09 
 5.700E+01 ,-2.434E-09 
 5.800E+01 ,-2.477E-09 
 5.900E+01 ,-2.519E-09 
 6.000E+01 ,-2.562E-09 
 6.100E+01 ,-2.605E-09 
 6.200E+01 ,-2.647E-09 
 6.300E+01 ,-2.690E-09 
 6.400E+01 ,-2.732E-09 
 6.500E+01 ,-2.775E-09 
 6.600E+01 ,-2.817E-09 
 6.700E+01 ,-2.860E-09 
 6.800E+01 ,-2.903E-09 
 6.900E+01 ,-2.945E-09 
 7.000E+01 ,-2.988E-09 
 7.100E+01 ,-3.030E-09 
 7.200E+01 ,-3.073E-09 
 7.300E+01 ,-3.115E-09 
 7.400E+01 ,-3.158E-09 
 7.500E+01 ,-3.201E-09 
 7.600E+01 ,-3.243E-09 
 7.700E+01 ,-3.286E-09 
 7.800E+01 ,-3.328E-09 
 7.900E+01 ,-3.371E-09 
 8.000E+01 ,-3.413E-09 
 8.100E+01 ,-3.456E-09 
 8.200E+01 ,-3.499E-09 
 8.300E+01 ,-3.541E-09 
 8.400E+01 ,-3.584E-09 
 8.500E+01 ,-3.626E-09 
 8.600E+01 ,-3.669E-09 
 8.700E+01 ,-3.711E-09 
 8.800E+01 ,-3.754E-09 
 8.900E+01 ,-3.797E-09 
 9.000E+01 ,-3.839E-09 
 9.100E+01 ,-3.882E-09 
 9.200E+01 ,-3.924E-09 
 9.300E+01 ,-3.967E-09 
 9.400E+01 ,-4.009E-09 
 9.500E+01 ,-4.052E-09 
 9.600E+01 ,-4.095E-09 
 9.700E+01 ,-4.137E-09 
 9.800E+01 ,-4.180E-09 
 9.900E+01 ,-4.222E-09 
 1.000E+02 ,-4.265E-09 
 1.010E+02 ,-4.307E-09 
 1.020E+02 ,-4.350E-09 
 1.030E+02 ,-4.393E-09 
 1.040E+02 ,-4.435E-09 
 1.050E+02 ,-4.478E-09 
 1.060E+02 ,-4.520E-09 
 1.070E+02 ,-4.563E-09 
 1.080E+02 ,-4.605E-09 
 1.090E+02 ,-4.648E-09 
 1.100E+02 ,-4.691E-09 
 1.110E+02 ,-4.733E-09 
 1.120E+02 ,-4.776E-09 
 1.130E+02 ,-4.818E-09 
 1.140E+02 ,-4.861E-09 
 1.150E+02 ,-4.903E-09 
 1.160E+02 ,-4.946E-09 
 1.170E+02 ,-4.989E-09 
 1.180E+02 ,-5.031E-09 
 1.190E+02 ,-5.074E-09 
 1.200E+02 ,-5.116E-09 
 1.210E+02 ,-5.159E-09 
 1.220E+02 ,-5.201E-09 
 1.230E+02 ,-5.244E-09 
 1.240E+02 ,-5.287E-09 
 1.250E+02 ,-5.329E-09 
 1.260E+02 ,-5.372E-09 
 1.270E+02 ,-5.414E-09 
 1.280E+02 ,-5.457E-09 
 1.290E+02 ,-5.499E-09 
 1.300E+02 ,-5.542E-09 
 1.310E+02 ,-5.585E-09 
 1.320E+02 ,-5.627E-09 
 1.330E+02 ,-5.670E-09 
 1.340E+02 ,-5.712E-09 
 1.350E+02 ,-5.755E-09 
 1.360E+02 ,-5.798E-09 
 1.370E+02 ,-5.840E-09 
 1.380E+02 ,-5.883E-09 
 1.390E+02 ,-5.925E-09 
 1.400E+02 ,-5.968E-09 
 1.410E+02 ,-6.010E-09 
 1.420E+02 ,-6.053E-09 
 1.430E+02 ,-6.096E-09 
 1.440E+02 ,-6.138E-09 
 1.450E+02 ,-6.181E-09 
 1.460E+02 ,-6.223E-09 
 1.470E+02 ,-6.266E-09 
 1.480E+02 ,-6.308E-09 
 1.490E+02 ,-6.351E-09 
 1.500E+02 ,-6.394E-09 
 1.510E+02 ,-6.436E-09 
 1.520E+02 ,-6.479E-09 
 1.530E+02 ,-6.521E-09 
 1.540E+02 ,-6.564E-09 
 1.550E+02 ,-6.606E-09 
 1.560E+02 ,-6.649E-09 
 1.570E+02 ,-6.692E-09 
 1.580E+02 ,-6.734E-09 
 1.590E+02 ,-6.777E-09 
 1.600E+02 ,-6.819E-09 
 1.610E+02 ,-6.862E-09 
 1.620E+02 ,-6.904E-09 
 1.630E+02 ,-6.947E-09 
 1.640E+02 ,-6.990E-09 
 1.650E+02 ,-7.032E-09 
 1.660E+02 ,-7.075E-09 
 1.670E+02 ,-7.117E-09 
 1.680E+02 ,-7.160E-09 
 1.690E+02 ,-7.202E-09 
 1.700E+02 ,-7.245E-09 
 1.710E+02 ,-7.288E-09 
 1.720E+02 ,-7.330E-09 
 1.730E+02 ,-7.373E-09 
 1.740E+02 ,-7.415E-09 
 1.750E+02 ,-7.458E-09 
 1.760E+02 ,-7.500E-09 
 1.770E+02 ,-7.543E-09 
 1.780E+02 ,-7.586E-09 
 1.790E+02 ,-7.628E-09 
 1.800E+02 ,-7.671E-09 
 1.810E+02 ,-7.713E-09 
 1.820E+02 ,-7.756E-09 
 1.830E+02 ,-7.798E-09 
 1.840E+02 ,-7.841E-09 
 1.850E+02 ,-7.884E-09 
 1.860E+02 ,-7.926E-09 
 1.870E+02 ,-7.969E-09 
 1.880E+02 ,-8.011E-09 
 1.890E+02 ,-8.054E-09 
 1.900E+02 ,-8.096E-09 
 1.910E+02 ,-8.139E-09 
 1.920E+02 ,-8.182E-09 
 1.930E+02 ,-8.224E-09 
 1.940E+02 ,-8.267E-09 
 1.950E+02 ,-8.309E-09 
