#format table ## [WaveView Analyzer] saved 01:05:11 Sun Dec 28 2014
XVAL ,i(vdd) 
 1.000E+00 ,-2.805E-05 
 2.000E+00 ,-5.619E-05 
 3.000E+00 ,-8.372E-05 
 4.000E+00 ,-1.113E-04 
 5.000E+00 ,-1.390E-04 
 6.000E+00 ,-1.666E-04 
 7.000E+00 ,-1.942E-04 
 8.000E+00 ,-2.219E-04 
 9.000E+00 ,-2.495E-04 
 1.000E+01 ,-2.771E-04 
 1.100E+01 ,-3.047E-04 
 1.200E+01 ,-3.324E-04 
 1.300E+01 ,-3.600E-04 
 1.400E+01 ,-3.876E-04 
 1.500E+01 ,-4.152E-04 
 1.600E+01 ,-4.429E-04 
 1.700E+01 ,-4.705E-04 
 1.800E+01 ,-4.981E-04 
 1.900E+01 ,-5.258E-04 
 2.000E+01 ,-5.534E-04 
 2.100E+01 ,-5.810E-04 
 2.200E+01 ,-6.086E-04 
 2.300E+01 ,-6.363E-04 
 2.400E+01 ,-6.639E-04 
 2.500E+01 ,-6.915E-04 
 2.600E+01 ,-7.192E-04 
 2.700E+01 ,-7.468E-04 
 2.800E+01 ,-7.744E-04 
 2.900E+01 ,-8.020E-04 
 3.000E+01 ,-8.297E-04 
 3.100E+01 ,-8.573E-04 
 3.200E+01 ,-8.849E-04 
 3.300E+01 ,-9.125E-04 
 3.400E+01 ,-9.402E-04 
 3.500E+01 ,-9.678E-04 
 3.600E+01 ,-9.954E-04 
 3.700E+01 ,-1.023E-03 
 3.800E+01 ,-1.051E-03 
 3.900E+01 ,-1.078E-03 
 4.000E+01 ,-1.106E-03 
 4.100E+01 ,-1.134E-03 
 4.200E+01 ,-1.161E-03 
 4.300E+01 ,-1.189E-03 
 4.400E+01 ,-1.216E-03 
 4.500E+01 ,-1.244E-03 
 4.600E+01 ,-1.272E-03 
 4.700E+01 ,-1.299E-03 
 4.800E+01 ,-1.327E-03 
 4.900E+01 ,-1.355E-03 
 5.000E+01 ,-1.382E-03 
 5.100E+01 ,-1.410E-03 
 5.200E+01 ,-1.437E-03 
 5.300E+01 ,-1.465E-03 
 5.400E+01 ,-1.493E-03 
 5.500E+01 ,-1.520E-03 
 5.600E+01 ,-1.548E-03 
 5.700E+01 ,-1.576E-03 
 5.800E+01 ,-1.603E-03 
 5.900E+01 ,-1.631E-03 
 6.000E+01 ,-1.658E-03 
 6.100E+01 ,-1.686E-03 
 6.200E+01 ,-1.714E-03 
 6.300E+01 ,-1.741E-03 
 6.400E+01 ,-1.769E-03 
 6.500E+01 ,-1.797E-03 
 6.600E+01 ,-1.824E-03 
 6.700E+01 ,-1.852E-03 
 6.800E+01 ,-1.880E-03 
 6.900E+01 ,-1.907E-03 
 7.000E+01 ,-1.935E-03 
 7.100E+01 ,-1.962E-03 
 7.200E+01 ,-1.990E-03 
 7.300E+01 ,-2.018E-03 
 7.400E+01 ,-2.045E-03 
 7.500E+01 ,-2.073E-03 
 7.600E+01 ,-2.101E-03 
 7.700E+01 ,-2.128E-03 
 7.800E+01 ,-2.156E-03 
 7.900E+01 ,-2.183E-03 
 8.000E+01 ,-2.211E-03 
 8.100E+01 ,-2.239E-03 
 8.200E+01 ,-2.266E-03 
 8.300E+01 ,-2.294E-03 
 8.400E+01 ,-2.322E-03 
 8.500E+01 ,-2.349E-03 
 8.600E+01 ,-2.377E-03 
 8.700E+01 ,-2.404E-03 
 8.800E+01 ,-2.432E-03 
 8.900E+01 ,-2.460E-03 
 9.000E+01 ,-2.487E-03 
 9.100E+01 ,-2.515E-03 
 9.200E+01 ,-2.543E-03 
 9.300E+01 ,-2.570E-03 
 9.400E+01 ,-2.598E-03 
 9.500E+01 ,-2.625E-03 
 9.600E+01 ,-2.653E-03 
 9.700E+01 ,-2.681E-03 
 9.800E+01 ,-2.708E-03 
 9.900E+01 ,-2.736E-03 
 1.000E+02 ,-2.764E-03 
 1.010E+02 ,-2.791E-03 
 1.020E+02 ,-2.819E-03 
 1.030E+02 ,-2.846E-03 
 1.040E+02 ,-2.874E-03 
 1.050E+02 ,-2.902E-03 
 1.060E+02 ,-2.929E-03 
