#format table ## [WaveView Analyzer] saved 02:32:40 Wed Dec 31 2014
XVAL ,i(vdd) 
 0.000E+00 ,-1.664E-10 
 1.000E-02 ,-2.208E-10 
 2.000E-02 ,-2.991E-10 
 3.000E-02 ,-4.116E-10 
 4.000E-02 ,-5.730E-10 
 5.000E-02 ,-8.047E-10 
 6.000E-02 ,-1.137E-09 
 7.000E-02 ,-1.612E-09 
 8.000E-02 ,-2.293E-09 
 9.000E-02 ,-3.261E-09 
 1.000E-01 ,-4.612E-09 
 1.100E-01 ,-6.502E-09 
 1.200E-01 ,-9.176E-09 
 1.300E-01 ,-1.289E-08 
 1.400E-01 ,-1.807E-08 
 1.500E-01 ,-2.538E-08 
 1.600E-01 ,-3.570E-08 
 1.700E-01 ,-5.017E-08 
 1.800E-01 ,-6.906E-08 
 1.900E-01 ,-8.537E-08 
 2.000E-01 ,-9.417E-08 
 2.100E-01 ,-9.891E-08 
 2.200E-01 ,-1.017E-07 
 2.300E-01 ,-1.035E-07 
 2.400E-01 ,-1.047E-07 
 2.500E-01 ,-1.055E-07 
 2.600E-01 ,-1.061E-07 
 2.700E-01 ,-1.065E-07 
 2.800E-01 ,-1.068E-07 
 2.900E-01 ,-1.070E-07 
 3.000E-01 ,-1.072E-07 
 3.100E-01 ,-1.073E-07 
 3.200E-01 ,-1.074E-07 
 3.300E-01 ,-1.075E-07 
 3.400E-01 ,-1.076E-07 
 3.500E-01 ,-1.076E-07 
 3.600E-01 ,-1.077E-07 
 3.700E-01 ,-1.077E-07 
 3.800E-01 ,-1.078E-07 
 3.900E-01 ,-1.078E-07 
 4.000E-01 ,-1.078E-07 
 4.100E-01 ,-1.079E-07 
 4.200E-01 ,-1.079E-07 
 4.300E-01 ,-1.079E-07 
 4.400E-01 ,-1.079E-07 
 4.500E-01 ,-1.079E-07 
 4.600E-01 ,-1.079E-07 
 4.700E-01 ,-1.079E-07 
 4.800E-01 ,-1.079E-07 
 4.900E-01 ,-1.080E-07 
 5.000E-01 ,-1.080E-07 
 5.100E-01 ,-1.080E-07 
 5.200E-01 ,-1.080E-07 
 5.300E-01 ,-1.080E-07 
 5.400E-01 ,-1.080E-07 
 5.500E-01 ,-1.080E-07 
 5.600E-01 ,-1.080E-07 
 5.700E-01 ,-1.080E-07 
 5.800E-01 ,-1.080E-07 
 5.900E-01 ,-1.080E-07 
 6.000E-01 ,-1.080E-07 
 6.100E-01 ,-1.080E-07 
 6.200E-01 ,-1.080E-07 
 6.300E-01 ,-1.080E-07 
 6.400E-01 ,-1.080E-07 
 6.500E-01 ,-1.080E-07 
 6.600E-01 ,-1.080E-07 
 6.700E-01 ,-1.080E-07 
 6.800E-01 ,-1.080E-07 
 6.900E-01 ,-1.080E-07 
 7.000E-01 ,-1.080E-07 
 7.100E-01 ,-1.080E-07 
 7.200E-01 ,-1.080E-07 
 7.300E-01 ,-1.080E-07 
 7.400E-01 ,-1.080E-07 
 7.500E-01 ,-1.080E-07 
 7.600E-01 ,-1.080E-07 
 7.700E-01 ,-1.080E-07 
 7.800E-01 ,-1.080E-07 
 7.900E-01 ,-1.080E-07 
 8.000E-01 ,-1.080E-07 
 8.100E-01 ,-1.080E-07 
 8.200E-01 ,-1.080E-07 
 8.300E-01 ,-1.080E-07 
 8.400E-01 ,-1.080E-07 
 8.500E-01 ,-1.080E-07 
 8.600E-01 ,-1.080E-07 
 8.700E-01 ,-1.080E-07 
 8.800E-01 ,-1.080E-07 
 8.900E-01 ,-1.080E-07 
 9.000E-01 ,-1.080E-07 
