#format table ## [WaveView Analyzer] saved 00:04:16 Sat Jan  3 2015
TIME ,i(vsleep):pwidth=4.3e-08 ,i(vsleep):pwidth=8.6e-08 ,i(vsleep):pwidth=1.29e-07 ,i(vsleep):pwidth=1.72e-07 ,i(vsleep):pwidth=2.15e-07 ,i(vsleep):pwidth=2.58e-07 ,i(vsleep):pwidth=3.01e-07 ,i(vsleep):pwidth=3.44e-07 ,i(vsleep):pwidth=3.87e-07 ,i(vsleep):pwidth=4.3e-07 ,i(vsleep):pwidth=4.73e-07 ,i(vsleep):pwidth=5.16e-07 ,i(vsleep):pwidth=5.59e-07 ,i(vsleep):pwidth=6.02e-07 ,i(vsleep):pwidth=6.45e-07 ,i(vsleep):pwidth=6.88e-07 ,i(vsleep):pwidth=7.31e-07 ,i(vsleep):pwidth=7.74e-07 ,i(vsleep):pwidth=8.17e-07 ,i(vsleep):pwidth=8.6e-07 ,i(vsleep):pwidth=9.03e-07 ,i(vsleep):pwidth=9.46e-07 ,i(vsleep):pwidth=9.89e-07 ,i(vsleep):pwidth=1.032e-06 ,i(vsleep):pwidth=1.075e-06 ,i(vsleep):pwidth=1.118e-06 ,i(vsleep):pwidth=1.161e-06 ,i(vsleep):pwidth=1.204e-06 ,i(vsleep):pwidth=1.247e-06 ,i(vsleep):pwidth=1.29e-06 ,i(vsleep):pwidth=1.333e-06 ,i(vsleep):pwidth=1.376e-06 ,i(vsleep):pwidth=1.419e-06 ,i(vsleep):pwidth=1.462e-06 ,i(vsleep):pwidth=1.505e-06 ,i(vsleep):pwidth=1.548e-06 ,i(vsleep):pwidth=1.591e-06 ,i(vsleep):pwidth=1.634e-06 ,i(vsleep):pwidth=1.677e-06 ,i(vsleep):pwidth=1.72e-06 ,i(vsleep):pwidth=1.763e-06 ,i(vsleep):pwidth=1.806e-06 ,i(vsleep):pwidth=1.849e-06 ,i(vsleep):pwidth=1.892e-06 ,i(vsleep):pwidth=1.935e-06 ,i(vsleep):pwidth=1.978e-06 ,i(vsleep):pwidth=2.021e-06 ,i(vsleep):pwidth=2.064e-06 ,i(vsleep):pwidth=2.107e-06 ,i(vsleep):pwidth=2.15e-06 
 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 , 0.0000000E+00 
 5.0000000E-13 ,-1.6760168E-05 ,-3.8483708E-05 ,-6.0136928E-05 ,-8.1744984E-05 ,-1.0331781E-04 ,-1.2485907E-04 ,-1.4637006E-04 ,-1.6784876E-04 ,-1.8929402E-04 ,-2.1070351E-04 ,-2.3207469E-04 ,-2.5340467E-04 ,-2.7469068E-04 ,-2.9592935E-04 ,-3.1711766E-04 ,-3.3825255E-04 ,-3.5933082E-04 ,-3.8034932E-04 ,-4.0130489E-04 ,-4.2219443E-04 ,-4.4301484E-04 ,-4.6376302E-04 ,-4.8443596E-04 ,-5.0503062E-04 ,-5.2554411E-04 ,-5.4597342E-04 ,-5.6631572E-04 ,-5.8656815E-04 ,-6.0672796E-04 ,-6.2679237E-04 ,-6.4675877E-04 ,-6.6662458E-04 ,-6.8638712E-04 ,-7.0604391E-04 ,-7.2559254E-04 ,-7.4503064E-04 ,-7.6435582E-04 ,-7.8356580E-04 ,-8.0265850E-04 ,-8.2163163E-04 ,-8.4048318E-04 ,-8.5921114E-04 ,-8.7781355E-04 ,-8.9628855E-04 ,-9.1463426E-04 ,-9.3284901E-04 ,-9.5093105E-04 ,-9.6887880E-04 ,-9.8669063E-04 ,-1.0043652E-03 
 6.2500000E-13 ,-3.0996354E-05 ,-7.1160066E-05 ,-1.1122233E-04 ,-1.5122126E-04 ,-1.9115926E-04 ,-2.3102827E-04 ,-2.7082034E-04 ,-3.1051468E-04 ,-3.5010153E-04 ,-3.8956761E-04 ,-4.2889925E-04 ,-4.6808345E-04 ,-5.0710636E-04 ,-5.4595724E-04 ,-5.8462290E-04 ,-6.2309142E-04 ,-6.6135114E-04 ,-6.9939083E-04 ,-7.3719950E-04 ,-7.7476667E-04 ,-8.1208209E-04 ,-8.4913603E-04 ,-8.8591897E-04 ,-9.2242198E-04 ,-9.5863640E-04 ,-9.9455402E-04 ,-1.0301669E-03 ,-1.0654677E-03 ,-1.1004494E-03 ,-1.1351052E-03 ,-1.1694288E-03 ,-1.2034146E-03 ,-1.2370570E-03 ,-1.2703509E-03 ,-1.3032915E-03 ,-1.3358745E-03 ,-1.3680960E-03 ,-1.3999522E-03 ,-1.4314398E-03 ,-1.4625560E-03 ,-1.4932979E-03 ,-1.5236634E-03 ,-1.5536504E-03 ,-1.5832572E-03 ,-1.6124825E-03 ,-1.6413250E-03 ,-1.6697837E-03 ,-1.6978583E-03 ,-1.7255483E-03 ,-1.7528535E-03 
 6.6452719E-13 ,-3.4619907E-05 ,-7.9251891E-05 ,-1.2364853E-04 ,-1.6790868E-04 ,-2.1206963E-04 ,-2.5614631E-04 ,-3.0016069E-04 ,-3.4408120E-04 ,-3.8791878E-04 ,-4.3166758E-04 ,-4.7532034E-04 ,-5.1886803E-04 ,-5.6230270E-04 ,-6.0560913E-04 ,-6.4877749E-04 ,-6.9179537E-04 ,-7.3464951E-04 ,-7.7732654E-04 ,-8.1981273E-04 ,-8.6209399E-04 ,-9.0415619E-04 ,-9.4598523E-04 ,-9.8756700E-04 ,-1.0288877E-03 ,-1.0699335E-03 ,-1.1106912E-03 ,-1.1511476E-03 ,-1.1912903E-03 ,-1.2311070E-03 ,-1.2705859E-03 ,-1.3097162E-03 ,-1.3484872E-03 ,-1.3868888E-03 ,-1.4249113E-03 ,-1.4625462E-03 ,-1.4997852E-03 ,-1.5366205E-03 ,-1.5730449E-03 ,-1.6090522E-03 ,-1.6446362E-03 ,-1.6797913E-03 ,-1.7145133E-03 ,-1.7487972E-03 ,-1.7826395E-03 ,-1.8160369E-03 ,-1.8489866E-03 ,-1.8814860E-03 ,-1.9135334E-03 ,-1.9451273E-03 ,-1.9762665E-03 
 6.6453164E-13 ,-3.4620314E-05 ,-7.9252801E-05 ,-1.2364993E-04 ,-1.6791056E-04 ,-2.1207198E-04 ,-2.5614914E-04 ,-3.0016399E-04 ,-3.4408497E-04 ,-3.8792304E-04 ,-4.3167231E-04 ,-4.7532556E-04 ,-5.1887374E-04 ,-5.6230890E-04 ,-6.0561584E-04 ,-6.4878471E-04 ,-6.9180310E-04 ,-7.3465775E-04 ,-7.7733530E-04 ,-8.1982203E-04 ,-8.6210381E-04 ,-9.0416655E-04 ,-9.4599613E-04 ,-9.8757843E-04 ,-1.0288997E-03 ,-1.0699461E-03 ,-1.1107042E-03 ,-1.1511612E-03 ,-1.1913045E-03 ,-1.2311217E-03 ,-1.2706011E-03 ,-1.3097320E-03 ,-1.3485035E-03 ,-1.3869056E-03 ,-1.4249287E-03 ,-1.4625641E-03 ,-1.4998036E-03 ,-1.5366395E-03 ,-1.5730643E-03 ,-1.6090721E-03 ,-1.6446567E-03 ,-1.6798123E-03 ,-1.7145348E-03 ,-1.7488192E-03 ,-1.7826619E-03 ,-1.8160598E-03 ,-1.8490100E-03 ,-1.8815098E-03 ,-1.9135577E-03 ,-1.9451519E-03 ,-1.9762742E-03 
 6.6453603E-13 ,-3.4620717E-05 ,-7.9253700E-05 ,-1.2365131E-04 ,-1.6791241E-04 ,-2.1207430E-04 ,-2.5615193E-04 ,-3.0016725E-04 ,-3.4408870E-04 ,-3.8792724E-04 ,-4.3167699E-04 ,-4.7533072E-04 ,-5.1887938E-04 ,-5.6231503E-04 ,-6.0562247E-04 ,-6.4879183E-04 ,-6.9181073E-04 ,-7.3466589E-04 ,-7.7734396E-04 ,-8.1983120E-04 ,-8.6211351E-04 ,-9.0417678E-04 ,-9.4600688E-04 ,-9.8758973E-04 ,-1.0289115E-03 ,-1.0699584E-03 ,-1.1107171E-03 ,-1.1511747E-03 ,-1.1913184E-03 ,-1.2311362E-03 ,-1.2706162E-03 ,-1.3097476E-03 ,-1.3485197E-03 ,-1.3869223E-03 ,-1.4249458E-03 ,-1.4625818E-03 ,-1.4998219E-03 ,-1.5366582E-03 ,-1.5730836E-03 ,-1.6090919E-03 ,-1.6446769E-03 ,-1.6798330E-03 ,-1.7145560E-03 ,-1.7488408E-03 ,-1.7826841E-03 ,-1.8160824E-03 ,-1.8490331E-03 ,-1.8815334E-03 ,-1.9135816E-03 ,-1.9451591E-03 ,-1.9762818E-03 
 6.6454036E-13 ,-3.4621114E-05 ,-7.9254587E-05 ,-1.2365267E-04 ,-1.6791424E-04 ,-2.1207660E-04 ,-2.5615468E-04 ,-3.0017047E-04 ,-3.4409238E-04 ,-3.8793139E-04 ,-4.3168161E-04 ,-4.7533581E-04 ,-5.1888495E-04 ,-5.6232109E-04 ,-6.0562901E-04 ,-6.4879887E-04 ,-6.9181827E-04 ,-7.3467394E-04 ,-7.7735251E-04 ,-8.1984027E-04 ,-8.6212310E-04 ,-9.0418688E-04 ,-9.4601751E-04 ,-9.8760088E-04 ,-1.0289232E-03 ,-1.0699706E-03 ,-1.1107299E-03 ,-1.1511879E-03 ,-1.1913322E-03 ,-1.2311505E-03 ,-1.2706311E-03 ,-1.3097630E-03 ,-1.3485356E-03 ,-1.3869387E-03 ,-1.4249628E-03 ,-1.4625993E-03 ,-1.4998398E-03 ,-1.5366767E-03 ,-1.5731026E-03 ,-1.6091114E-03 ,-1.6446969E-03 ,-1.6798535E-03 ,-1.7145769E-03 ,-1.7488623E-03 ,-1.7827060E-03 ,-1.8161048E-03 ,-1.8490558E-03 ,-1.8815566E-03 ,-1.9135884E-03 ,-1.9451663E-03 ,-1.9762892E-03 
 6.6454465E-13 ,-3.4621507E-05 ,-7.9255464E-05 ,-1.2365402E-04 ,-1.6791605E-04 ,-2.1207886E-04 ,-2.5615740E-04 ,-3.0017365E-04 ,-3.4409602E-04 ,-3.8793548E-04 ,-4.3168617E-04 ,-4.7534084E-04 ,-5.1889045E-04 ,-5.6232707E-04 ,-6.0563548E-04 ,-6.4880582E-04 ,-6.9182571E-04 ,-7.3468188E-04 ,-7.7736096E-04 ,-8.1984922E-04 ,-8.6213256E-04 ,-9.0419686E-04 ,-9.4602800E-04 ,-9.8761189E-04 ,-1.0289347E-03 ,-1.0699827E-03 ,-1.1107425E-03 ,-1.1512011E-03 ,-1.1913459E-03 ,-1.2311647E-03 ,-1.2706457E-03 ,-1.3097782E-03 ,-1.3485513E-03 ,-1.3869549E-03 ,-1.4249795E-03 ,-1.4626165E-03 ,-1.4998576E-03 ,-1.5366949E-03 ,-1.5731213E-03 ,-1.6091306E-03 ,-1.6447166E-03 ,-1.6798737E-03 ,-1.7145976E-03 ,-1.7488834E-03 ,-1.7827276E-03 ,-1.8161268E-03 ,-1.8490783E-03 ,-1.8815629E-03 ,-1.9135950E-03 ,-1.9451733E-03 ,-1.9762966E-03 
 6.6454893E-13 ,-3.4621899E-05 ,-7.9256341E-05 ,-1.2365537E-04 ,-1.6791786E-04 ,-2.1208113E-04 ,-2.5616013E-04 ,-3.0017683E-04 ,-3.4409966E-04 ,-3.8793958E-04 ,-4.3169073E-04 ,-4.7534587E-04 ,-5.1889595E-04 ,-5.6233305E-04 ,-6.0564194E-04 ,-6.4881277E-04 ,-6.9183315E-04 ,-7.3468982E-04 ,-7.7736940E-04 ,-8.1985817E-04 ,-8.6214202E-04 ,-9.0420683E-04 ,-9.4603850E-04 ,-9.8762290E-04 ,-1.0289462E-03 ,-1.0699948E-03 ,-1.1107551E-03 ,-1.1512142E-03 ,-1.1913595E-03 ,-1.2311789E-03 ,-1.2706604E-03 ,-1.3097934E-03 ,-1.3485670E-03 ,-1.3869712E-03 ,-1.4249963E-03 ,-1.4626338E-03 ,-1.4998754E-03 ,-1.5367132E-03 ,-1.5731401E-03 ,-1.6091498E-03 ,-1.6447364E-03 ,-1.6798939E-03 ,-1.7146183E-03 ,-1.7489045E-03 ,-1.7827492E-03 ,-1.8161489E-03 ,-1.8490843E-03 ,-1.8815692E-03 ,-1.9136017E-03 ,-1.9451803E-03 ,-1.9763040E-03 
 6.6455316E-13 ,-3.4622287E-05 ,-7.9257206E-05 ,-1.2365670E-04 ,-1.6791964E-04 ,-2.1208337E-04 ,-2.5616281E-04 ,-3.0017997E-04 ,-3.4410325E-04 ,-3.8794363E-04 ,-4.3169524E-04 ,-4.7535084E-04 ,-5.1890139E-04 ,-5.6233896E-04 ,-6.0564832E-04 ,-6.4881964E-04 ,-6.9184050E-04 ,-7.3469766E-04 ,-7.7737774E-04 ,-8.1986701E-04 ,-8.6215136E-04 ,-9.0421668E-04 ,-9.4604886E-04 ,-9.8763378E-04 ,-1.0289576E-03 ,-1.0700067E-03 ,-1.1107675E-03 ,-1.1512271E-03 ,-1.1913730E-03 ,-1.2311928E-03 ,-1.2706749E-03 ,-1.3098084E-03 ,-1.3485825E-03 ,-1.3869872E-03 ,-1.4250128E-03 ,-1.4626508E-03 ,-1.4998929E-03 ,-1.5367312E-03 ,-1.5731586E-03 ,-1.6091688E-03 ,-1.6447558E-03 ,-1.6799138E-03 ,-1.7146387E-03 ,-1.7489254E-03 ,-1.7827705E-03 ,-1.8161544E-03 ,-1.8490901E-03 ,-1.8815754E-03 ,-1.9136082E-03 ,-1.9451872E-03 ,-1.9763113E-03 
