#format table ## [WaveView Analyzer] saved 00:06:11 Sat Jan  3 2015
TIME ,v(fgnd):pwidth=4.3e-08 ,v(fgnd):pwidth=8.6e-08 ,v(fgnd):pwidth=1.29e-07 ,v(fgnd):pwidth=1.72e-07 ,v(fgnd):pwidth=2.15e-07 ,v(fgnd):pwidth=2.58e-07 ,v(fgnd):pwidth=3.01e-07 ,v(fgnd):pwidth=3.44e-07 ,v(fgnd):pwidth=3.87e-07 ,v(fgnd):pwidth=4.3e-07 ,v(fgnd):pwidth=4.73e-07 ,v(fgnd):pwidth=5.16e-07 ,v(fgnd):pwidth=5.59e-07 ,v(fgnd):pwidth=6.02e-07 ,v(fgnd):pwidth=6.45e-07 ,v(fgnd):pwidth=6.88e-07 ,v(fgnd):pwidth=7.31e-07 ,v(fgnd):pwidth=7.74e-07 ,v(fgnd):pwidth=8.17e-07 ,v(fgnd):pwidth=8.6e-07 ,v(fgnd):pwidth=9.03e-07 ,v(fgnd):pwidth=9.46e-07 ,v(fgnd):pwidth=9.89e-07 ,v(fgnd):pwidth=1.032e-06 ,v(fgnd):pwidth=1.075e-06 ,v(fgnd):pwidth=1.118e-06 ,v(fgnd):pwidth=1.161e-06 ,v(fgnd):pwidth=1.204e-06 ,v(fgnd):pwidth=1.247e-06 ,v(fgnd):pwidth=1.29e-06 ,v(fgnd):pwidth=1.333e-06 ,v(fgnd):pwidth=1.376e-06 ,v(fgnd):pwidth=1.419e-06 ,v(fgnd):pwidth=1.462e-06 ,v(fgnd):pwidth=1.505e-06 ,v(fgnd):pwidth=1.548e-06 ,v(fgnd):pwidth=1.591e-06 ,v(fgnd):pwidth=1.634e-06 ,v(fgnd):pwidth=1.677e-06 ,v(fgnd):pwidth=1.72e-06 ,v(fgnd):pwidth=1.763e-06 ,v(fgnd):pwidth=1.806e-06 ,v(fgnd):pwidth=1.849e-06 ,v(fgnd):pwidth=1.892e-06 ,v(fgnd):pwidth=1.935e-06 ,v(fgnd):pwidth=1.978e-06 ,v(fgnd):pwidth=2.021e-06 ,v(fgnd):pwidth=2.064e-06 ,v(fgnd):pwidth=2.107e-06 ,v(fgnd):pwidth=2.15e-06 
 0.0000000E+00 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 ,-1.2345679E-29 
 5.0000000E-13 , 4.8035130E-02 , 5.2573219E-02 , 5.5514853E-02 , 5.7584729E-02 , 5.9125159E-02 , 6.0319472E-02 , 6.1268583E-02 , 6.2052883E-02 , 6.2709242E-02 , 6.3268162E-02 , 6.3750848E-02 , 6.4173236E-02 , 6.4546101E-02 , 6.4880446E-02 , 6.5182261E-02 , 6.5457053E-02 , 6.5709241E-02 , 6.5942377E-02 , 6.6159397E-02 , 6.6362709E-02 , 6.6554345E-02 , 6.6735990E-02 , 6.6909090E-02 , 6.7074873E-02 , 6.7234412E-02 , 6.7388624E-02 , 6.7538299E-02 , 6.7684166E-02 , 6.7826815E-02 , 6.7966811E-02 , 6.8104640E-02 , 6.8240747E-02 , 6.8375520E-02 , 6.8509318E-02 , 6.8642475E-02 , 6.8775274E-02 , 6.8907991E-02 , 6.9040872E-02 , 6.9174156E-02 , 6.9308057E-02 , 6.9442756E-02 , 6.9578461E-02 , 6.9715336E-02 , 6.9853544E-02 , 6.9993243E-02 , 7.0134580E-02 , 7.0277691E-02 , 7.0422709E-02 , 7.0569769E-02 , 7.0718981E-02 
 6.2500000E-13 , 5.9960920E-02 , 6.6099912E-02 , 6.9938280E-02 , 7.2539456E-02 , 7.4414589E-02 , 7.5826533E-02 , 7.6975904E-02 , 7.7843897E-02 , 7.8550987E-02 , 7.9136319E-02 , 7.9627894E-02 , 8.0045104E-02 , 8.0403842E-02 , 8.0712229E-02 , 8.0980025E-02 , 8.1213757E-02 , 8.1418633E-02 , 8.1598826E-02 , 8.1757732E-02 , 8.1898168E-02 , 8.2022458E-02 , 8.2132578E-02 , 8.2230195E-02 , 8.2316749E-02 , 8.2393475E-02 , 8.2461454E-02 , 8.2521640E-02 , 8.2574852E-02 , 8.2621865E-02 , 8.2663342E-02 , 8.2699880E-02 , 8.2732037E-02 , 8.2760304E-02 , 8.2785159E-02 , 8.2807019E-02 , 8.2826287E-02 , 8.2843319E-02 , 8.2858466E-02 , 8.2872048E-02 , 8.2884379E-02 , 8.2895748E-02 , 8.2906425E-02 , 8.2916677E-02 , 8.2926758E-02 , 8.2936898E-02 , 8.2947329E-02 , 8.2958281E-02 , 8.2969971E-02 , 8.2982592E-02 , 8.2996354E-02 
 6.6452719E-13 , 6.1524535E-02 , 6.8321843E-02 , 7.2560668E-02 , 7.5433949E-02 , 7.7506303E-02 , 7.9068098E-02 , 8.0328293E-02 , 8.1292365E-02 , 8.2078623E-02 , 8.2730318E-02 , 8.3277963E-02 , 8.3743069E-02 , 8.4142742E-02 , 8.4486618E-02 , 8.4785063E-02 , 8.5045245E-02 , 8.5272853E-02 , 8.5472438E-02 , 8.5647714E-02 , 8.5801734E-02 , 8.5937017E-02 , 8.6055714E-02 , 8.6159620E-02 , 8.6250283E-02 , 8.6329038E-02 , 8.6397050E-02 , 8.6455344E-02 , 8.6504808E-02 , 8.6546272E-02 , 8.6580451E-02 , 8.6607998E-02 , 8.6629516E-02 , 8.6645549E-02 , 8.6656598E-02 , 8.6663135E-02 , 8.6665609E-02 , 8.6664406E-02 , 8.6659923E-02 , 8.6652527E-02 , 8.6642556E-02 , 8.6630339E-02 , 8.6616191E-02 , 8.6600408E-02 , 8.6583269E-02 , 8.6565064E-02 , 8.6546061E-02 , 8.6526494E-02 , 8.6506634E-02 , 8.6486713E-02 , 8.6466961E-02 
 6.6453164E-13 , 6.1524711E-02 , 6.8322092E-02 , 7.2560963E-02 , 7.5434275E-02 , 7.7506650E-02 , 7.9068463E-02 , 8.0328670E-02 , 8.1292753E-02 , 8.2079019E-02 , 8.2730722E-02 , 8.3278374E-02 , 8.3743485E-02 , 8.4143163E-02 , 8.4487042E-02 , 8.4785491E-02 , 8.5045676E-02 , 8.5273287E-02 , 8.5472874E-02 , 8.5648151E-02 , 8.5802173E-02 , 8.5937458E-02 , 8.6056156E-02 , 8.6160062E-02 , 8.6250725E-02 , 8.6329480E-02 , 8.6397493E-02 , 8.6455786E-02 , 8.6505250E-02 , 8.6546713E-02 , 8.6580892E-02 , 8.6608437E-02 , 8.6629954E-02 , 8.6645986E-02 , 8.6657033E-02 , 8.6663569E-02 , 8.6666041E-02 , 8.6664835E-02 , 8.6660350E-02 , 8.6652952E-02 , 8.6642979E-02 , 8.6630759E-02 , 8.6616609E-02 , 8.6600822E-02 , 8.6583680E-02 , 8.6565472E-02 , 8.6546466E-02 , 8.6526895E-02 , 8.6507032E-02 , 8.6487107E-02 , 8.6467077E-02 
 6.6453603E-13 , 6.1524884E-02 , 6.8322339E-02 , 7.2561255E-02 , 7.5434596E-02 , 7.7506994E-02 , 7.9068823E-02 , 8.0329042E-02 , 8.1293136E-02 , 8.2079411E-02 , 8.2731121E-02 , 8.3278779E-02 , 8.3743896E-02 , 8.4143578E-02 , 8.4487462E-02 , 8.4785914E-02 , 8.5046101E-02 , 8.5273715E-02 , 8.5473304E-02 , 8.5648583E-02 , 8.5802606E-02 , 8.5937892E-02 , 8.6056591E-02 , 8.6160498E-02 , 8.6251162E-02 , 8.6329918E-02 , 8.6397930E-02 , 8.6456223E-02 , 8.6505687E-02 , 8.6547149E-02 , 8.6581327E-02 , 8.6608871E-02 , 8.6630387E-02 , 8.6646417E-02 , 8.6657464E-02 , 8.6663997E-02 , 8.6666467E-02 , 8.6665260E-02 , 8.6660772E-02 , 8.6653372E-02 , 8.6643396E-02 , 8.6631174E-02 , 8.6617021E-02 , 8.6601231E-02 , 8.6584086E-02 , 8.6565875E-02 , 8.6546866E-02 , 8.6527291E-02 , 8.6507425E-02 , 8.6487222E-02 , 8.6467192E-02 
 6.6454036E-13 , 6.1525056E-02 , 6.8322583E-02 , 7.2561542E-02 , 7.5434914E-02 , 7.7507333E-02 , 7.9069179E-02 , 8.0329410E-02 , 8.1293514E-02 , 8.2079798E-02 , 8.2731516E-02 , 8.3279179E-02 , 8.3744302E-02 , 8.4143988E-02 , 8.4487876E-02 , 8.4786331E-02 , 8.5046522E-02 , 8.5274138E-02 , 8.5473729E-02 , 8.5649010E-02 , 8.5803035E-02 , 8.5938322E-02 , 8.6057022E-02 , 8.6160930E-02 , 8.6251594E-02 , 8.6330349E-02 , 8.6398362E-02 , 8.6456655E-02 , 8.6506118E-02 , 8.6547580E-02 , 8.6581757E-02 , 8.6609300E-02 , 8.6630815E-02 , 8.6646844E-02 , 8.6657888E-02 , 8.6664420E-02 , 8.6666888E-02 , 8.6665679E-02 , 8.6661190E-02 , 8.6653787E-02 , 8.6643809E-02 , 8.6631584E-02 , 8.6617428E-02 , 8.6601636E-02 , 8.6584487E-02 , 8.6566273E-02 , 8.6547260E-02 , 8.6527683E-02 , 8.6507538E-02 , 8.6487335E-02 , 8.6467305E-02 
 6.6454465E-13 , 6.1525225E-02 , 6.8322824E-02 , 7.2561827E-02 , 7.5435227E-02 , 7.7507668E-02 , 7.9069530E-02 , 8.0329773E-02 , 8.1293888E-02 , 8.2080180E-02 , 8.2731905E-02 , 8.3279575E-02 , 8.3744703E-02 , 8.4144393E-02 , 8.4488285E-02 , 8.4786743E-02 , 8.5046937E-02 , 8.5274555E-02 , 8.5474149E-02 , 8.5649432E-02 , 8.5803458E-02 , 8.5938746E-02 , 8.6057447E-02 , 8.6161355E-02 , 8.6252020E-02 , 8.6330776E-02 , 8.6398788E-02 , 8.6457081E-02 , 8.6506544E-02 , 8.6548005E-02 , 8.6582181E-02 , 8.6609723E-02 , 8.6631237E-02 , 8.6647265E-02 , 8.6658308E-02 , 8.6664838E-02 , 8.6667304E-02 , 8.6666093E-02 , 8.6661601E-02 , 8.6654197E-02 , 8.6644216E-02 , 8.6631988E-02 , 8.6617830E-02 , 8.6602035E-02 , 8.6584883E-02 , 8.6566666E-02 , 8.6547650E-02 , 8.6527794E-02 , 8.6507650E-02 , 8.6487447E-02 , 8.6467417E-02 
 6.6454893E-13 , 6.1525395E-02 , 6.8323065E-02 , 7.2562111E-02 , 7.5435541E-02 , 7.7508003E-02 , 7.9069881E-02 , 8.0330137E-02 , 8.1294261E-02 , 8.2080563E-02 , 8.2732295E-02 , 8.3279970E-02 , 8.3745103E-02 , 8.4144799E-02 , 8.4488694E-02 , 8.4787156E-02 , 8.5047352E-02 , 8.5274973E-02 , 8.5474568E-02 , 8.5649853E-02 , 8.5803881E-02 , 8.5939170E-02 , 8.6057872E-02 , 8.6161781E-02 , 8.6252446E-02 , 8.6331202E-02 , 8.6399215E-02 , 8.6457507E-02 , 8.6506970E-02 , 8.6548430E-02 , 8.6582606E-02 , 8.6610147E-02 , 8.6631659E-02 , 8.6647686E-02 , 8.6658727E-02 , 8.6665256E-02 , 8.6667720E-02 , 8.6666507E-02 , 8.6662013E-02 , 8.6654606E-02 , 8.6644623E-02 , 8.6632393E-02 , 8.6618232E-02 , 8.6602434E-02 , 8.6585280E-02 , 8.6567059E-02 , 8.6547761E-02 , 8.6527906E-02 , 8.6507761E-02 , 8.6487559E-02 , 8.6467529E-02 
 6.6455316E-13 , 6.1525562E-02 , 6.8323302E-02 , 7.2562391E-02 , 7.5435851E-02 , 7.7508334E-02 , 7.9070228E-02 , 8.0330495E-02 , 8.1294630E-02 , 8.2080940E-02 , 8.2732679E-02 , 8.3280361E-02 , 8.3745499E-02 , 8.4145199E-02 , 8.4489097E-02 , 8.4787563E-02 , 8.5047762E-02 , 8.5275385E-02 , 8.5474983E-02 , 8.5650269E-02 , 8.5804298E-02 , 8.5939589E-02 , 8.6058292E-02 , 8.6162201E-02 , 8.6252867E-02 , 8.6331623E-02 , 8.6399636E-02 , 8.6457928E-02 , 8.6507390E-02 , 8.6548850E-02 , 8.6583025E-02 , 8.6610565E-02 , 8.6632076E-02 , 8.6648101E-02 , 8.6659141E-02 , 8.6665668E-02 , 8.6668131E-02 , 8.6666916E-02 , 8.6662420E-02 , 8.6655011E-02 , 8.6645025E-02 , 8.6632792E-02 , 8.6618629E-02 , 8.6602828E-02 , 8.6585671E-02 , 8.6567168E-02 , 8.6547871E-02 , 8.6528016E-02 , 8.6507872E-02 , 8.6487670E-02 , 8.6467640E-02 
