#format table ## [WaveView Analyzer] saved 02:31:12 Wed Dec 31 2014
XVAL ,i(vdd) 
 0.000E+00 ,-5.270E-09 
 1.000E-02 ,-5.809E-09 
 2.000E-02 ,-6.472E-09 
 3.000E-02 ,-7.281E-09 
 4.000E-02 ,-8.258E-09 
 5.000E-02 ,-9.427E-09 
 6.000E-02 ,-1.081E-08 
 7.000E-02 ,-1.245E-08 
 8.000E-02 ,-1.436E-08 
 9.000E-02 ,-1.659E-08 
 1.000E-01 ,-1.917E-08 
 1.100E-01 ,-2.214E-08 
 1.200E-01 ,-2.555E-08 
 1.300E-01 ,-2.946E-08 
 1.400E-01 ,-3.393E-08 
 1.500E-01 ,-3.902E-08 
 1.600E-01 ,-4.480E-08 
 1.700E-01 ,-5.135E-08 
 1.800E-01 ,-5.870E-08 
 1.900E-01 ,-6.687E-08 
 2.000E-01 ,-7.562E-08 
 2.100E-01 ,-8.404E-08 
 2.200E-01 ,-9.063E-08 
 2.300E-01 ,-9.510E-08 
 2.400E-01 ,-9.815E-08 
 2.500E-01 ,-1.003E-07 
 2.600E-01 ,-1.019E-07 
 2.700E-01 ,-1.032E-07 
 2.800E-01 ,-1.041E-07 
 2.900E-01 ,-1.049E-07 
 3.000E-01 ,-1.054E-07 
 3.100E-01 ,-1.059E-07 
 3.200E-01 ,-1.063E-07 
 3.300E-01 ,-1.066E-07 
 3.400E-01 ,-1.068E-07 
 3.500E-01 ,-1.070E-07 
 3.600E-01 ,-1.071E-07 
 3.700E-01 ,-1.073E-07 
 3.800E-01 ,-1.074E-07 
 3.900E-01 ,-1.075E-07 
 4.000E-01 ,-1.076E-07 
 4.100E-01 ,-1.076E-07 
 4.200E-01 ,-1.077E-07 
 4.300E-01 ,-1.077E-07 
 4.400E-01 ,-1.078E-07 
 4.500E-01 ,-1.078E-07 
 4.600E-01 ,-1.078E-07 
 4.700E-01 ,-1.078E-07 
 4.800E-01 ,-1.079E-07 
 4.900E-01 ,-1.079E-07 
 5.000E-01 ,-1.079E-07 
 5.100E-01 ,-1.079E-07 
 5.200E-01 ,-1.079E-07 
 5.300E-01 ,-1.079E-07 
 5.400E-01 ,-1.080E-07 
 5.500E-01 ,-1.080E-07 
 5.600E-01 ,-1.080E-07 
 5.700E-01 ,-1.080E-07 
 5.800E-01 ,-1.080E-07 
 5.900E-01 ,-1.080E-07 
 6.000E-01 ,-1.080E-07 
 6.100E-01 ,-1.080E-07 
 6.200E-01 ,-1.080E-07 
 6.300E-01 ,-1.080E-07 
 6.400E-01 ,-1.080E-07 
 6.500E-01 ,-1.080E-07 
 6.600E-01 ,-1.080E-07 
 6.700E-01 ,-1.080E-07 
 6.800E-01 ,-1.080E-07 
 6.900E-01 ,-1.080E-07 
 7.000E-01 ,-1.080E-07 
 7.100E-01 ,-1.080E-07 
 7.200E-01 ,-1.080E-07 
 7.300E-01 ,-1.080E-07 
 7.400E-01 ,-1.080E-07 
 7.500E-01 ,-1.080E-07 
 7.600E-01 ,-1.080E-07 
 7.700E-01 ,-1.080E-07 
 7.800E-01 ,-1.080E-07 
 7.900E-01 ,-1.080E-07 
 8.000E-01 ,-1.081E-07 
 8.100E-01 ,-1.081E-07 
 8.200E-01 ,-1.081E-07 
 8.300E-01 ,-1.081E-07 
 8.400E-01 ,-1.081E-07 
 8.500E-01 ,-1.081E-07 
 8.600E-01 ,-1.081E-07 
 8.700E-01 ,-1.081E-07 
 8.800E-01 ,-1.081E-07 
 8.900E-01 ,-1.081E-07 
 9.000E-01 ,-1.081E-07 
