#format table ## [WaveView Analyzer] saved 02:28:34 Wed Dec 31 2014
XVAL ,i(vdd) 
 0.000E+00 ,-1.083E-07 
 1.000E-02 ,-1.083E-07 
 2.000E-02 ,-1.083E-07 
 3.000E-02 ,-1.083E-07 
 4.000E-02 ,-1.083E-07 
 5.000E-02 ,-1.083E-07 
 6.000E-02 ,-1.083E-07 
 7.000E-02 ,-1.083E-07 
 8.000E-02 ,-1.083E-07 
 9.000E-02 ,-1.083E-07 
 1.000E-01 ,-1.083E-07 
 1.100E-01 ,-1.083E-07 
 1.200E-01 ,-1.083E-07 
 1.300E-01 ,-1.083E-07 
 1.400E-01 ,-1.083E-07 
 1.500E-01 ,-1.083E-07 
 1.600E-01 ,-1.083E-07 
 1.700E-01 ,-1.083E-07 
 1.800E-01 ,-1.083E-07 
 1.900E-01 ,-1.083E-07 
 2.000E-01 ,-1.083E-07 
 2.100E-01 ,-1.083E-07 
 2.200E-01 ,-1.083E-07 
 2.300E-01 ,-1.083E-07 
 2.400E-01 ,-1.083E-07 
 2.500E-01 ,-1.083E-07 
 2.600E-01 ,-1.083E-07 
 2.700E-01 ,-1.083E-07 
 2.800E-01 ,-1.083E-07 
 2.900E-01 ,-1.083E-07 
 3.000E-01 ,-1.083E-07 
 3.100E-01 ,-1.083E-07 
 3.200E-01 ,-1.083E-07 
 3.300E-01 ,-1.083E-07 
 3.400E-01 ,-1.083E-07 
 3.500E-01 ,-1.083E-07 
 3.600E-01 ,-1.083E-07 
 3.700E-01 ,-1.083E-07 
 3.800E-01 ,-1.083E-07 
 3.900E-01 ,-1.083E-07 
 4.000E-01 ,-1.083E-07 
 4.100E-01 ,-1.083E-07 
 4.200E-01 ,-1.083E-07 
 4.300E-01 ,-1.083E-07 
 4.400E-01 ,-1.083E-07 
 4.500E-01 ,-1.083E-07 
 4.600E-01 ,-1.083E-07 
 4.700E-01 ,-1.083E-07 
 4.800E-01 ,-1.083E-07 
 4.900E-01 ,-1.083E-07 
 5.000E-01 ,-1.083E-07 
 5.100E-01 ,-1.083E-07 
 5.200E-01 ,-1.083E-07 
 5.300E-01 ,-1.083E-07 
 5.400E-01 ,-1.083E-07 
 5.500E-01 ,-1.083E-07 
 5.600E-01 ,-1.083E-07 
 5.700E-01 ,-1.083E-07 
 5.800E-01 ,-1.083E-07 
 5.900E-01 ,-1.083E-07 
 6.000E-01 ,-1.083E-07 
 6.100E-01 ,-1.083E-07 
 6.200E-01 ,-1.083E-07 
 6.300E-01 ,-1.083E-07 
 6.400E-01 ,-1.083E-07 
 6.500E-01 ,-1.083E-07 
 6.600E-01 ,-1.083E-07 
 6.700E-01 ,-1.083E-07 
 6.800E-01 ,-1.083E-07 
 6.900E-01 ,-1.083E-07 
 7.000E-01 ,-1.083E-07 
 7.100E-01 ,-1.083E-07 
 7.200E-01 ,-1.083E-07 
 7.300E-01 ,-1.083E-07 
 7.400E-01 ,-1.083E-07 
 7.500E-01 ,-1.083E-07 
 7.600E-01 ,-1.083E-07 
 7.700E-01 ,-1.083E-07 
 7.800E-01 ,-1.083E-07 
 7.900E-01 ,-1.083E-07 
 8.000E-01 ,-1.083E-07 
 8.100E-01 ,-1.083E-07 
 8.200E-01 ,-1.083E-07 
 8.300E-01 ,-1.083E-07 
 8.400E-01 ,-1.083E-07 
 8.500E-01 ,-1.083E-07 
 8.600E-01 ,-1.083E-07 
 8.700E-01 ,-1.083E-07 
 8.800E-01 ,-1.083E-07 
 8.900E-01 ,-1.083E-07 
 9.000E-01 ,-1.083E-07 
